Accession	BacMet_ID	Gene_name	Location	Organism	Compound	Description
P23895	BAC0150	emrE/mvrC	Chromosome	Escherichia coli (Strain K12)	"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]"	"It codes for a membrane protein emrE/MvrC, exhibits resistance to methyl viologen by reducing permeability. Overexoression of MvrC protein induces or activates the MvrA protein, which reduces the toxic species produced by metyl viologen. It doesn’t confer resistance to plumbagin dye. It expels positively charged hydrophobic drugs across the inner membrane of E. coli., thereby conferring resistance to a wide range of toxic compounds. The drug efflux is coupled to an influx of protons. It is involved in the resistance of E. coli cells to methyl viologen, ethidium bromide and acriflavine. Is also able to transport tetraphenylphosphonium (TPP+) and benzylkonium."
P52599	BAC0151	emrK	Chromosome	Escherichia coli (strain K12)	"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Crystal Violet [class: Triarylmethane], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein; overexpression resistance to deoxycholate"
P0ACR9	BAC0559	emrR	Chromosome	Escherichia coli (strain K12)	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone]	Negative regulator of the multidrug operon emrAB.
B2FIC7	BAC0502	emrRsm	Chromosome	Stenotrophomonas maltophilia (strain K279a)	"Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]"	EmrRCABsm operon is negatively regulated by a MarR-type regulator EmrRsm.
P52600	BAC0153	emrY	Chromosome	Escherichia coli (strain K12)	"Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine]"	Multidrug resistance protein Y
P0ACZ4	BAC0154	evgA	Chromosome	"Only gram -ve, Escherichia coli (Strain K12)"	Sodium Deoxycholate (SDC) [class: Acid]	Member of the two-component regulatory system EvgS/EvgA. Regulates the expression of emrKY operon and yfdX. Seems also to control expression of at least one other multidrug efflux operon.
P58402	BAC0155	evgS	Chromosome	Escherichia coli (strain K12)	Sodium Deoxycholate (SDC) [class: Acid]	Sensor protein EvgS; Member of the two-component regulatory system EvgS/EvgA. Phosphorylates EvgA via a four-step phosphorelay in response to environmental signals
P0AEK4	BAC0156	fabI	Chromosome	Escherichia coli (strain K12)	Triclosan [class: Phenolic compounds]	"Enoyl-[acyl-carrier-protein] reductase [NADH] FabI; Catalyzes the reduction of a carbon-carbon double bond in an enoyl moiety that is covalently linked to an acyl carrier protein (ACP). Involved in the elongation cycle of fatty acid which are used in the lipid metabolism and in the biotin biosynthesis; enoyl-ACP reductase is the FabI protein of Escherichia coli that is the target of the antibacterial compound, triclosan; some Gram-positive bacteria are naturally resistant to triclosan due to the presence of the triclosan-resistant enoyl-ACP reductase isoforms, FabK, FabV and FabL."
Q9FBC5	BAC0157	fabK	Chromosome	Streptococcus pneumoniae	Triclosan [class: Phenolic compounds]	Trans-2-enoyl-ACP reductase II; a TIM barrel triclosan-resistannt flavoprotein; It is one of the taret sites for antibacterial triclosan; expression of FabK confers triclosan resistance.
P71079	BAC0158	fabL/ygaA	Chromosome	Bacillus subtilis (strain 168)	Triclosan [class: Phenolic compounds]	Enoyl-(acyl-carrier-protein) reductase (NADPH) FabL; It catalyzes the reduction of a carbon-carbon double bond in an enoyl moiety that is covalently linked to an acyl carrier protein (ACP). It confers resistance to triclosan. It is an alternative target site where fabI is absent for antibacterial compound triclosan.
Q9KRA3	BAC0159	fabV	Chromosome	Vibrio chloerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	Triclosan [class: Phenolic compounds]	"Enoyl-(acyl-carrier-protein) (ACP) reductase is a key enzyme in type II fatty-acid synthases that catalyzes the last step in each elongation cycle; Predominately found in Vibrio species and closely related organisms where it seems to be the sole enoyl-ACP reductase. It is a antibacterial target site for triclosan where fabI and other isoforms such as fabL, fabI or fabK are absent. Triclosan expression of FabV in organism results in markedly increased resistance to triclosan. There may be bacteria that have both FabV and FabK such as various of the Clostridia such as Clostridium tetani."
Q9RQ30	BAC0503	farA	Chromosome	Neisseria gonorrhoeae F19	"Phenylmercury Acetate [class: Organo-mercury], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Oleic acid [class: Free Fatty Acids], Linoleic acid [class: Free Fatty Acids], Palmitic acid [class: Free Fatty Acids], Triton X-100 [class: Polyethylene glycol]"	A membrane fusion protein. The farAB operon of Neisseria gonorrhoeae encodes an efflux pump which mediates gonococcal resistance to antibacterial fatty acids. This efflux pump requires the MtrE protein as the outer membrane channel to export antibacterial FAs from inside the cell.
Q9RQ29	BAC0504	farB	Chromosome	Neisseria gonorrhoeae F19	"Phenylmercury Acetate [class: Organo-mercury], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Oleic acid [class: Free Fatty Acids], Linoleic acid [class: Free Fatty Acids], Palmitic acid [class: Free Fatty Acids], Triton X-100 [class: Polyethylene glycol]"	A cytoplasmic transporter protein. The farAB operon of Neisseria gonorrhoeae encodes an efflux pump which mediates gonococcal resistance to antibacterial fatty acids. This efflux pump requires the MtrE protein as the outer membrane channel to export antibacterial FAs from inside the cell.
Q7DD70	BAC0505	farR	Chromosome	"Neisseria gonorrhoeae, Neisseria meningitidis serogroup B (strain MC58)"	Palmitic acid [class: Free Fatty Acids]	"FarR negatively controls expression of farAB by directly binding to the farAB promoter. MtrR binds to the farR promoter, thereby repressing farR expression. MtrR regulates farAB in a positive fashion by modulating farR expression."
P35755	BAC0160	fbpA	Chromosome	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	"Iron (Fe), Gallium (Ga)"	Fe(3+)-binding/Iron-utilization periplasmic protein FbpA; Part of the ABC transporter complex FbpABC involved in Fe3+ ions import. This protein specifically binds Fe3+ and is involved in its transmembrane transport
P71338	BAC0161	fbpB	Chromosome	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	"Iron (Fe), Gallium (Ga)"	Fe(3+)-transport system permease protein FbpB; Part of the ABC transporter complex FbpABC involved in Fe3+ ions import. This protein specifically binds Fe3+ and is involved in its transmembrane transport
P44513	BAC0162	fbpC	Chromosome	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	"Iron (Fe), Gallium (Ga)"	Fe(3+) ions import ATP-binding protein FbpC; Part of the ABC transporter complex FbpABC involved in Fe3+ ions import. Responsible for energy coupling to the transport system
P15029	BAC0163	fecD	Chromosome	Escherichia coli (strain K12)	"Nickel (Ni), Cobalt (Co)"	Fe(3+) dicitrate transport system permease protein FecD; Part of the binding-protein-dependent transport system for citrate-dependent Fe3+. Probably responsible for the translocation of the substrate across the membrane.
P15031	BAC0164	fecE	Chromosome	Escherichia coli (strain K12)	"Nickel (Ni), Cobalt (Co)"	Fe(3+) dicitrate transport ATP-binding protein FecE; Part of the binding-protein-dependent transport system for citrate-dependent Fe3+. Probably responsible for energy coupling to the transport system
P77279	BAC0165	fetA/ybbL	Chromosome	Escherichia coli (strain K12)	"Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]"	"FetA, the ATP binding component subunit; FetAB allows for increased resistance to oxidative stress in the presence of iron"
P77307	BAC0166	fetB/ybbM	Chromosome	Escherichia coli (strain K12)	"Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]"	FetB/YbbM is a membrane protein. FetAB allows for increased resistance to oxidative stress in the presence of iron
P69380	BAC0167	fieF/yiip	Chromosome	Escherichia coli (strain K12)	"Iron (Fe), Zinc (Zn), Cobalt (Co), Cadmium (Cd), Nickel (Ni)"	"Iron-efflux transporter responsible for iron detoxification. Also able to transport Zn2+ in a proton-dependent manner. The CDF protein, FieF, is mainly a ferrous iron detoxifying protein but also mediated some resistance against other divalent metal cations such as Zn(II), Co(II), Cd(II), and Ni(II) in W. metallidurans or Escherichia coli."
P42512	BAC0168	fptA	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	"Iron (Fe), Cobalt (Co), Nickel (Ni), Gallium (Ga)"	Fe(3+)-pyochelin receptor FptA; High-affinity outer membrane receptor required for the transport of Fe3+-pyochelin
P48632	BAC0169	fpvA	Chromosome	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	"Manganese (Mn), Iron (Fe), Cobalt (Co), Zinc (Zn), Nickel (Ni), Copper (Cu), Cadmium (Cd), Gallium (Ga)"	Ferripyoverdine receptor A (fpvA); Receptor for the siderophore ferripyoverdine; Located in cell outer membrane
Q9RWK7	BAC0170	frnE	Chromosome	Deinococcus radiodurans	"Cadmium (Cd), Hydrogen Peroxide (H2O2) [class: Peroxides]"	Disulfide Isomerase Chaperone;  It is a protein disulfide isomerase in vitro and has a role in oxidative stress tolerance of D. radiodurans possibly by protecting the damaged cellular proteins from inactivation;  is a protein disulfide isomerase in vitro and has a role in oxidative stress tolerance of D. radiodurans possibly by protecting the damaged cellular proteins from inactivation
P0A582	BAC0171	furA	Chromosome	Mycobacterium tuberculosis	Iron (Fe)	Transcriptional regulator FurA; Represses transcription of the catalase-peroxidase gene katG and its own transcription by binding to the promoter region in a redox-dependent manner
B0FSM1	BAC0490	G2alt	Chromosome	Anoxybacillus gonensis G2	Aluminium (Al)	"The ATPase activity of G2alt requires Mg2+ and Na+ ions, while Zn2+ and Al3+ stimulate the activity, Cd2+ and Ag+ reduces the activity and Li+, Cu2+ and Co2+ inhibits the activity.  "
P69908	BAC0172	gadA	Chromosome	Escherichia coli (strain K12)	Hydrochloric acid (HCl) [class: Acid]	"TolC is required for expression of glutamate decarboxylase (GadA, GadB), a key component of glutamate-dependent acid resistance (Gad); Converts glutamate to gamma-aminobutyrate (GABA), consuming one intracellular proton in the reaction. The gad system helps to maintain a near-neutral intracellular pH when cells are exposed to extremely acidic conditions. The ability to survive transit through the acidic conditions of the stomach is essential for successful colonization of the mammalian host by commensal and pathogenic bacteria."
P69910	BAC0173	gadB	Chromosome	Escherichia coli (strain K12)	Hydrochloric acid (HCl) [class: Acid]	"TolC is required for expression of glutamate decarboxylase (GadA, GadB), a key component of glutamate-dependent acid resistance (Gad); Converts glutamate to gamma-aminobutyrate (GABA), consuming one intracellular proton in the reaction. The gad system helps to maintain a near-neutral intracellular pH when cells are exposed to extremely acidic conditions. The ability to survive transit through the acidic conditions of the stomach is essential for successful colonization of the mammalian host by commensal and pathogenic bacteria."
P63235	BAC0174	gadC/xasA	Chromosome	Escherichia coli (strain K12)	Hydrochloric acid (HCl) [class: Acid]	"GadC functions as a transporter for the product of glutamate decarboxylase, g-aminobutyrate"
P63204	BAC0175	gadE/yhiE	Chromosome	Escherichia coli (strain K12)	Hydrochloric acid (HCl) [class: Acid]	"Regulates the expression of several genes involved in acid resistance. Required for the expression of gadA and gadBC, among others, regardless of media or growth conditions. Binds directly to the 20 bp GAD box found in the control regions of both loci."
P63201	BAC0176	gadW/yhiW	Chromosome	Escherichia coli (strain K12)	Hydrochloric acid (HCl) [class: Acid]	"Depending on the conditions (growth phase and medium), acts as a positive or negative regulator of gadA and gadBC. Repression occurs directly or via the repression of the expression of gadX. Activation occurs directly by the binding of GadW to the gadA and gadBC promoters."
P37639	BAC0177	gadX	Chromosome	Escherichia coli (strain K12)	"Hydrochloric acid (HCl) [class: Acid], Rhodamine 6G [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"Role in acid resistance, increases multidrug resistance in E. coli by activating the MdtEF multidrug efflux pump; Positively regulates the expression of about fifteen genes involved in acid resistance such as gadA, gadB and gadC. Depending on the conditions (growth phase and medium), can repress gadW. It can confer resistance to antibiotics such as oxacillin, cloxacillin, nafcillin, erythromycin etc."
A0A1Z2RUL8	BAC0755	galE	Chromosome	Uncultured bacterium	Cetyltrimethylammonium bromide (CTAB) [class: Quaternary Ammonium Compounds (QACs)]	
Q8ZRG8	BAC0178	gesA	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	"Gold (Au), Methylene Blue [class: Thiazinium], Crystal Violet [class: Triarylmethane]"	"The gold (Au2+) resistance efflux pump, GesABC (induced by GolS in the presence of Au2+; also mediates drug resistance when induced by Au2+. Also exports a variety of organic chemicals including chloramphenicol."
Q8ZRG9	BAC0179	gesB	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	"Gold (Au), Methylene Blue [class: Thiazinium], Crystal Violet [class: Triarylmethane]"	"The gold (Au2+) resistance efflux pump, GesABC (induced by GolS in the presence of Au2+; also mediates drug resistance when induced by Au2+. Also exports a variety of organic chemicals including chloramphenicol."
Q8ZRH0	BAC0180	gesC	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	"Gold (Au), Methylene Blue [class: Thiazinium], Crystal Violet [class: Triarylmethane]"	"The gold (Au2+) resistance efflux pump, GesABC (induced by GolS in the presence of Au2+; also mediates drug resistance when induced by Au2+. Also exports a variety of organic chemicals including chloramphenicol."
P0AER0	BAC0181	glpF	Chromosome	Escherichia coli (strain K12)	"Antimony (Sb), Arsenic (As), Glycerol [class: Alcohol]"	"Glycerol uptake facilitator protein GlpF; Transporter of glycerol across the cytoplasmic membrane, with limited permeability to water and small uncharged compounds such as polyols"
Q8ZRG6	BAC0182	golS	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Gold (Au)	"merR-type regulator; GolS directly controls the expression of golT and golB;  Each component of the GolS regulon, i.e. the P-type ATPase GolT; and the metal-binding polypeptide GolB, are required for full gold-tolerance"
Q8ZRG7	BAC0183	golT	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	"Copper (Cu), Gold (Au)"	"Cation transporting P-type ATPase; belongs to the gold-responsive, gol regulon; In the absence of CopA, GolS becomes responsive to copper, inducing the expression of golT, which functionally substitutes CopA for cytosolic copper export"
Q6GW09	BAC0184	hasF	Chromosome	Serratia marcescens	"Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine]"	TolC-homologue hasF involved in energy-dependent efflux
P0AES9	BAC0185	hdeA/yhiB	Chromosome	Escherichia coli (strain K12)	Hydrochloric acid (HCl) [class: Acid]	Acid stress chaperone HdeA; Required for optimal acid stress protection. Exhibits a chaperone-like activity only at pH below 3 by suppressing non-specifically the aggregation of denaturated periplasmic proteins. Important for survival of enteric bacteria in the acidic environment of the host stomach. Also promotes the solubilization at neutral pH of proteins that had aggregated in their presence at acidic pHs. May cooperate with other periplasmic chaperones such as DegP and SurA
